id,title,author,text,label
10,Commentator Saurabh  claims a 1958 postage stamp had a ‘pointy map’ of Nepal,South Asia Check,"Writer and political commentator Saurabh speaking on the Tamasoma Jyotirgamaya programme aired on AP1 television on July 19 claimed that a postage stamp issued by the Nepal government in 1958 features a Nepal map with a pointed spur on the northwestern corner.
He made the claim in the context of the immediate past government issuing a new map of Nepal last year by including Kalapani, Lipulekh and Limpiyadhura areas within the Nepali territory. The inclusion of these areas, which are also claimed by India, has added a pointed spur on the northwestern corner of the Nepal map. Nepal adopted the map in June 2020 with the passage of a related bill by parliament.
“As far as I remember, the postage stamp issued in 2015 BS [1958-59 AD] had a pointy map [of Nepal]. But, the Nepal map published in the postage stamp issued after 2017 BS [1960] doesn’t have that pointy part. He [Prime Minister KP Sharma Oli] brought that pointy part back.”
Saurabh, whose real name is Dinesh Satyal, made the claim while reviewing the three and a half years’ term of the immediate past government led by KP Sharma Oli.",1
11,Some Nepali social media users shared 5G increases Covid-19 cases,Deepak Adhikari,"A claim about 5G, which is the fifth generation of wireless telephony, is circulating among social media users in Nepal. The claim along with photos of anti-5G protests says Nepal has fewer Covid-19 cases because it has not rolled out the 5G technology; the pandemic is surging in India due to the 5G radiation and the death rates are high in the Indian states where the technology has been launched.
A Pokhara-based photographer and disk jockey, Ohm Lama, shared the post and photos on Facebook on May 9. His post has been shared by more than 4,500 people.
The post reads as follows:
“Since Nepal has not yet launched 5G, Covid cases are fewer here. And, even the existing Covid cases here were caused by the radiation from 5G in India. In India, wherever 5G services have started, the death rates have been rising. For example, 5G testing is currently underway in Bombay, Madhya Pradesh, Uttar Pradesh, Delhi and Karnataka. And, in their surrounding areas, people have shown various symptoms such as burning sensation and redness in eyes, dry throat, excessive thirst, breathing difficulties, etc.”
The same content has been shared on Facebook here, here and here. The claim includes photographs of the anti-5G protests in London of the UK and in Amsterdam of the Netherlands.
Last year, similar claims had gone viral in various European countries including the United Kingdom. India’s Alt News and Factly have also fact-checked such claims.",1
12,Corruption case against three in Bara's Jitpursimara,Himalayan News Service,"The Commission for the Investigation of Abuse of Authority has filed a corruption case against three persons, including a former chief administrative officer of Jitpursimara Sub-metropolitan City, Bara.The case has been filed against former chief administrative officer Shivaraj Sedai of Jitpursimara sub-metropolitan city and contractors Om Sharnkar Prasad and Mira Kumari Shrestha seeking 52.5 million rupees at the Special Court over irregularities in the extraction of river products. The contractors are accused to have committed irregularities during the excavation, collection and distribution of river products from Pasaha and Balgangakhola rivers, according to the charge sheet filed.According to CIAA Spokesperson Shyam Prasad Bhandari, Sedai in capacity of chief administration officer in the fiscal of 2022- 23 had granted licence to excavate river products to Om Shankar's Om Suppliers.But, Om Suppliers is said to have cheated the government by not posting the required revenue in collusion with Sedai.As learnt, the contractor hasn't posted some 10 million rupees government revenue, excluding VAT. The CIAA, over the case, has thus filed a case against Sedai and Shankar Prasad seeking fine and prison sentence against them.Similarly, Sedai is learnt to have carried out irregularities over the excavation in another river-Balganga - as well. The CIAA chargesheet has implicated Sedai and New Pathibhara Suppliers' owner Mira Kumari Shrestha for irregularities of 12 million rupees that was supposed to be posted as government revenue. The CIAA has sought fine and prison sentence against the duo over the case.",0
13,First kidney transplantation in Pokhara,Rastriya Samachar Samiti,"Paschimanchal Regional Hospital under the Pokhara Academy of Health Sciences (PAHS) has conducted successful kidney transplantation for the first time.The kidney transplantation was conducted on a 53-year-old woman from Annapurna Rural Municipality in the district on Thursday. She was donated the organ by her husband. It took four hours for a team of specialist doctors to transplant the kidney. The Hospital has however maintained the names of the organ donor and recipient anonymous.Executive Director at PAHS, Prof Dr Bharat Bahadur Khatri shared the happiness that kidney transplantation was conducted successfully with the cooperation of Martyr Dharmabhakta National Transplantation Centre, Bhaktapur and the Academy. Centre's Dr Pukar Chandra Shrestha and PAHS' Dr Prakash Chhetri, Dr Anup Chapagain, Dr Maya Lama, Dr Juju Shrestha and Dr Amrit KC involved in the organ transplantation.Earlier, the kidney patients from Pokhara city and Gandaki Province had to visit federal capital, Kathmandu, for the transplantation.The PAHS had got permission from the Human Organ Transplantation Coordination Secretariat under the Health Service Department on June 17, according to Information Officer, Suman Bhattarai.The PAHS had made agreement with the Martyr Dharmabhakta National Transplantation Centre for its role to provide necessary human resources to conduct the transplantation.The Hospital has said entire cost of the operation was free. It is said there are around 500 kidney patients receiving dialyses service every day in Pokhara.",0
14,No legal clarity on how long the House of Representatives can function after election dates are announced,Binod Ghimire,"The Election Commission said on Friday that it has started preparations to hold the federal and provincial elections by the third week of November.
Speaking at a meeting of the parliamentary committee on Women and Social Affairs, Chief Election Commissioner Dinesh Thapaliya said that the elections will be held by November 25.
Meanwhile, Minister for Federal Affairs and General Administration Rajendra Shrestha said the commission has proposed holding the elections in a single phase on November 16, or on November 14 and on November 19 if they are to be held in two phases.
“The government will announce the poll date soon,” he said while addressing the municipal assembly of Kathmandu Metropolitan City on Friday. “The federal and provincial elections will be held in the next four or five months.”
As per the law, the government announces the poll dates in consultation with the commission.
There is, however, one confusion that no one has been able to address. Till when the House of Representatives can function once the election is announced?
Since 1990, after the restoration of democracy, the parliament’s term is fixed for five years. However, Nepal’s democracy has been fragile and constitutions over the years—the country has adopted three charters since 1990—have created quite a confusion.
Gopal Nath Yogi, secretary at the House of Representatives, said there is no legal clarity.
“When a House is prematurely dissolved, poll dates are announced simultaneously. The country then goes to snap polls. However, in case of regular elections, there is no clarity as to how long it can function after election dates are announced,” Yogi told the Post. “It is up to the government when to end the tenure of Parliament.”
As per Article 85, the term of the House of Representatives shall be of five years unless dissolved earlier. It, however, doesn’t say whether or not the House can function after the poll dates are announced.
Usually, dates are announced 120 days prior to the elections, so as to give ample time to the Election Commission for preparations.
A few days ago, the commission made it clear that the current term of the House will be until December 8, clearing the confusion as to when it will complete its five years.
The commission said it has taken December 8, 2017 as the date of commencement of the Parliament tenure as per the House of Representatives and Provincial Assembly Elections Acts. It decided to fix December 8 as the commencement date, saying that on this day the winners of both federal and provincial elections under the first-past-the-post category were announced.",0
15,China praises Nepal’s decision to not join US-led SPP,Onlinekhabar,"China has praised Nepal for not joining the United States-led State Partnership Program (SPP).
Wang Wenbin, a deputy director and spokesperson of the Foreign Ministry Information Department of China, praised Nepal’s decision to say out of the SPP.
“As Nepal’s friendly and close neighbour and strategic cooperative partner, China commends the Nepali government’s decision,” Wang said, adding that China would continue to support Nepal in upholding its sovereignty, independence and territorial integrity and support Nepal’s commitment to its independent and non-aligned foreign policy.
He said it was great that Nepal had opted out of the programme which many in the country believed was a part of a military strategy.
Since Nepal ratified the Millennium Challenge Corporation, China has not spoken about Nepal much.",0
16,"Viral on Nepal social media, ‘home remedy’ for boosting blood oxygen levels is founded",Deepak Adhikari,"As the second wave of the Covid-19 pandemic rages in Nepal, people have been sharing various kinds of information related to the disease including some supposed home remedies on social media platforms. One such social media post accompanied by a picture suggesting a traditional remedy for low blood oxygen levels has been widely shared on Twitter and Facebook.
The post reads as follows: “Take three-four cubes of camphor, three-four cloves, a teaspoon of carom seeds and two-three drops of eucalyptus oil, wrap up the mixture in a piece of soft cotton cloth and sniff it from time to time. [Every time] after sniffing, put the pouch back into a Ziploc bag. If Eucalyptus oil is not available, you can do without it.”
On April 26, Rama Singh, a former news anchor of the state-run Nepal Television, shared a picture along with the message on her Facebook page. Facebook users have thanked Singh for the information. One user also shared a Hindi-language video clip with instructions for preparing and using the remedy. Singh’s post has received 30 responses and more than 4,000 shares on Facebook. The post along the picture has been shared here and here on Twitter and here and here on Facebook. The post had gone viral in India. In Nepal, it appears that many social media users have shared Singh’s post.
South Asia Check found the supposed remedy is misleading and baseless.According to Prakash Gyawali, a doctor of traditional Ayurveda medicine, although camphor, cloves and carom seeds are natural ingredients used in traditional remedies, the claim that their use boosts blood oxygen levels in humans is unfounded. “The Ayurveda hasn’t described these items as medicines. In order for something to be an Ayurvedic medicine, it has to be mentioned in the related literature,” Gyawali tells South Asia Check.Camphor helps open the nose in case of cold while cloves dry the phlegm, Gyawali says. “Carom seed is also mixed in various medicines. If you have chest problems, it is used because of its expectorant or drying properties,” he says.A mix of eucalyptus oil and herbs can be used to relieve cough symptoms, according to him. “It can be used as a nasal decongestant. It makes it easier to breathe, but there is no evidence that it raises oxygen levels,” he says.Dr Pushpa Mani Kharal, the medical superintendent at Mulpani Municipal Hospital in Kathmandu, says there is no evidence that using the herbs would increase the blood oxygen level. “To increase the oxygen level, your lungs have to be healthy. Or oxygen should be given artificially,” Kharal tells South Asia Check.
“There are other ways such as lying in a prone position (sleeping on your knees and belly), deep breathing, etc. These exercises can make breathing easier,” he says.
Also, we did an extensive search on Google, but could not find any reliable information to support the claim that the aforementioned mixture boosts blood oxygen levels. You can read about the benefits of camphor and clove on WebMD, a US-based publisher of health-related information.
Based on the statements of the two doctors and other references, the widely shared claim that the use of a mix of camphor, clove, carom seeds and eucalyptus oil increases the oxygen level is misleading and baseless.",1
17,Itahari designates indigenous Tharu community as 'First Citizen',Birat Anupam  ," Itahari's indigenous Tharu community has been designated as the 'First Citizen by the new plan, policy, and budget of the Itahari Sub-Metropolitan City.    
In a budget speech delivered today afternoon, Deputy Mayor Sangita Chaudhary said the Tharu has been declared as the 'First Citizen of Itahari.
For the same purpose, inputs of imminent Tharu personalities and scholars would be consulted, said the budget program of the newly elected people's representatives of Itahari Sub-Metropolitan City. For the implementation of this declaration, Rs. 3 million has been allocated, said Deputy Mayor Sangita Chaudhary.  
Likewise, Itahari has brought a special program on the preservation and promotion of the Gramthan, the cultural centers of the indigenous Tharu community of Itahari. This program has been given top priority.    
Tharu activists and elders of Itahari have expressed their happiness over the declaration of 'First Citizen' and Gramthan conservation. ''This is a good gesture on part of plan, policy and budget allocation'', remarked Sampatlal Chaudhary, a local Tharu elder. He added, 'Words need practical translation into reality.''    
Itahari has announced a tentative budget of Rs. 2 billion 180 million 610 thousand. Itahari has announced plans to have free health insurance to 2000 poor households of Itahari. Likewise, referral service is said to have extended to all ward health offices of all 20 wards of Itahari. The Deputy Self-dependence program has been prioritized with the 'one cooperative, one skill' program.    ",0
18,Old photos of foreign fires being circulated as Nepal wildfire photos,Sanjog Shiwakoti,"Nepal’s major cities including Kathmandu and Pokhara are blanketed by the smoke from the raging wildfires across the country over the last few days. In the absence of strong winds, the smog remains suspended over the Nepali sky. On March 26, Kathmandu was ranked the world’s most polluted city, by IQAir, a Swiss air quality technology company. The severe air pollution has forced the government to close schools in many districts including the capital, Kathmandu, for four days. Flights to and from Kathmandu and other airports have been suspended or diverted due to poor visibility.
Social media users have taken to Twitter and Facebook to draw the world’s attention to the disaster. On March 31, the #PrayforNepal hashtag trended on Twitter. Social media users have shared various pictures of the wildfires. The photos have been shared here, here on Twitter and here, here on Facebook. But we found that some of these photos are misleading. They were from other countries.",1
19,MC chair Prachanda inquires about health of ailing mountaineer,TRN Online,"The political leadership has shown concern over the health condition of Shambhu Tamang who has set the world record as the youngest climber on the world's highest peak, Sagarmatha.Tamang is currently struggling against cancer. Tamang from Lisankhupakhar Rural Municipality-2, Sindhupalchowk climbed Mt Everest on May 5, 1973.He was 17 years six months and 15 days old when he summited the world's tallest mountain. Tamang currently lives in Maharajgunj, Kathmandu. His name is recorded in the Guinness Book of World Records as the youngest Everest summiteer.   
CPN (Maoist Center) Chair and former Prime Minister Pushpa Kamal Dahal 'Prachanda' reached the Nepal Cancer Hospital, Harisiddhi in Lalitpur this morning to inquire about Tamang's health condition. Tamang is receiving treatment for cancer for a long.On the occasion, Chair Dahal was briefed about Tamang's health and medical treatment by the doctors at the hospital, Dahal's secretariat stated. Dahal had inquired about the ailing mountaineer's health condition in the past and at present.Highly praising Tamang for his contribution to the country, the Maoist Center chair and the former prime minister said he would take initiative to provide assistance to him on behalf of the government. ",0
20,High court voids notorious religious leader Siddhababa’s rape charge acquittal,Onlinekhabar,"The Biratnagar High Court has voided the Sunsari District Court’s decision to acquit controversial religious leader Krishna Giri aka Siddhababa of a rape charge.In December 2020, the Sunsari District Court acquitted him of the rape charge. However, expressing dissatisfaction with the verdict, the government attorneys have filed an appeal for the review.In response to the appeal, a division bench of officiating chief justice Satya Mohan Joshi Tharu and Kiran Kumari Gupta decided the acquittal order would not be implemented.The high court has ordered the district court to conduct a trial for the rape charge again.The full text of the acquittal verdict made public in February 2021 had revealed that the district judge acquitted the ‘ascetic’ Siddhababa citing the alleged victim ‘surrendered’ her body to him, and it was widely criticised.Following that, the government attorneys had decided to appeal to a higher court for the review.",0
21,Only 227 out of 928 libraries across country operating properly: Report,The Rising Nepal," Of a total of 928 libraries, which were opened across the country since 1917, only 227 have been found to be operating properly.According to a survey conducted by Read Nepal and Shanti Volunteer Association in coordination with the Ministry of Education, Science and Technology showed that 681 libraries have been shut down over the years.The surveyors had prepared a list of 60 questions based on which the survey was conducted.The ministry’s under-secretary Yadav Chandra Niraula informed that the full report of the survey will be made public on the second national conference of public and community libraries on June 29 and 30.Similarly, Read Nepal’s Bhola Kumar Shrestha said, “Many libraries which were opened without proper management couldn’t operate for long.”Read Nepal is recently operating 69 libraries in 43 districts across Nepal.“We provided Rs. 1 million to all the libraries.  They are now operating effectively in the respective localities attracting children, youths as well as elderlies,” said Shrestha.Read Nepal’s Chij Kumar Shrestha added, “Libraries cannot operate on a long run without a long-term plan. They also need to be under the jurisdiction of respective community. We have libraries operating for more than three decades.”Meanwhile, stakeholders also argued that the government needed to focus on protecting the libraries and increase its number together.“Libraries are public’s university as it allows everyone to come and seek knowledge. Libraries play an important role in educating the communities,” said Binod Gurung of Shanti Volunteer Association.Making public the second national conference, Niraula said, “The government plans to establish at least one public library in all the 753 local levels soon. The government is providing a grant of Rs. 100,000 to Rs. 1 million to 98 libraries across the country.”",0
22,"Govt reduces fuel prices: Petrol for Rs 179, diesel and kerosene Rs 163", Onlinekhabar,"The government of Nepal has once again been forced to reduce the fuel prices less than a week after the decision to hike them.A Nepal Oil Corporation board meeting held on Saturday made a decision to cut down the price of petrol by Rs 20 per litre and diesel and kerosene by Rs 29 per litre, according to the corporation. Earlier, a meeting of the top leaders of the ruling alliance this morning had urged the corporation to roll back its decision to hike the fuel prices.The new tariff will come into effect after Saturday midnight, and a litre of petrol and diesel/kerosene will be available for Rs 179 and Rs 163 respectively, according to the officials.Just on Sunday (June 19), the government hiked their prices to Rs 199 and Rs 192 respectively from the existing Rs 178 and Rs 165 respectively. The decision was widely protested.",0
